AWS Extension Dependency,Function category,complexity,Efforts(Hours)
aws_oracle_ext.get_context_param,AWS_EXTENSION_INTERNAL,SIMPLE,1
aws_oracle_ext.get_cmd_type_by_sql_func_code,AWS_EXTENSION_INTERNAL,SIMPLE,1
aws_oracle_ext.from_tz,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.first_weekday,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.dbtimezone,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.dbms_xmlquery$usetypeforcollelemtag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$usenullattributeindicator,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$upper_case,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$tctxdictionary,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$tctxdictionary,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$tctxattributes,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$tctxattributes,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$tcontext,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setxsltparam,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setxslt,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$settagcase,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setstylesheetheader,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setsqltoxmlnameescaping,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setskiprows,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setrowtag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setrowsettag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setrowidattrvalue,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setrowidattrname,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setraisenorowsexception,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setraiseexception,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setmetaheader,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setmaxrows,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$seterrortag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setencodingtag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setdateformat,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setdataheader,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setctxattrvalue,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setcollidattrname,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$setbindvalue,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$schema,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$query,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$none,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$newcontext,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$lower_case,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$getxml,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$getversion,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$getnumrowsprocessed,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$dtd,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$default_rowtag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$default_rowsettag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$default_rowidattr,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$default_errortag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$default_date_format,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$default_dataheadertag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$db_encoding,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$ctxidx,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$ctxhdl,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$contextattr,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$context,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$closecontext,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlquery$all_rows,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$usenullattributeindicator,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$useitemtagsforcoll,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$tctxattributes,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$tctxattributes,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$tcontext,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setskiprows,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setrowtag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setrowsettag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setnullhandling,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setmaxrows,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setctxvalue,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setctxattrvalue,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$setconvertspecialchars,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$schema,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$qc,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$null_attr,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$none,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$newcontext,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$getxml,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$getnumrowsprocessed,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$getctxobj,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$entity_encode,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$entity_decode,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$empty_tag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$dtd,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$drop_nulls,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$default_rowtag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$default_rowsettag,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$ctxidx,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$ctxhdl,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$crisopened,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$convert,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$contextattr,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$context,DBMS_XML_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_xmlgen$closecontext,DBMS_XML_PROCESSING,COMPLEX,4
